NUMBER PREFIX	DESTINATION COUNTRY	DESTINATION PLATFORM
1416	Canada [CAN]	FIXED
1418	Canada [CAN]	FIXED
1428	Canada [CAN]	FIXED
1431	Canada [CAN]	FIXED
1437	Canada [CAN]	FIXED
1438	Canada [CAN]	FIXED
1441	Bermuda [BMU]	FIXED
14413	Bermuda [BMU]	MOBILE
1441300	Bermuda [BMU]	FIXED
14413241378	Bermuda [BMU]	FIXED
1441331	Bermuda [BMU]	FIXED
1441332	Bermuda [BMU]	FIXED
1441333	Bermuda [BMU]	FIXED
1441334	Bermuda [BMU]	FIXED
1441335	Bermuda [BMU]	FIXED
1441336	Bermuda [BMU]	FIXED
1441337	Bermuda [BMU]	FIXED
1441338	Bermuda [BMU]	FIXED
1441339	Bermuda [BMU]	FIXED
14417	Bermuda [BMU]	MOBILE
1450	Canada [CAN]	FIXED
1460	Canada [CAN]	FIXED
1468	Canada [CAN]	FIXED
1473	Grenada [GRD]	FIXED
14734070	Grenada [GRD]	MOBILE
14734071	Grenada [GRD]	MOBILE
14734072	Grenada [GRD]	MOBILE
14734073	Grenada [GRD]	MOBILE
14734074	Grenada [GRD]	MOBILE
14734075	Grenada [GRD]	MOBILE
14734076	Grenada [GRD]	MOBILE
1474	Canada [CAN]	FIXED
1487	Canada [CAN]	FIXED
1506	Canada [CAN]	FIXED
1514	Canada [CAN]	FIXED
1519	Canada [CAN]	FIXED
1537	Canada [CAN]	FIXED
1548	Canada [CAN]	FIXED
1568	Canada [CAN]	FIXED
1579	Canada [CAN]	FIXED
1581	Canada [CAN]	FIXED
1587	Canada [CAN]	FIXED
1600	Canada [CAN]	FIXED
1604	Canada [CAN]	FIXED
1613	Canada [CAN]	FIXED
1639	Canada [CAN]	FIXED
1647	Canada [CAN]	FIXED
1649	Turks and Caicos Islands [TCA]	FIXED
164930	Turks and Caicos Islands [TCA]	MOBILE
164931	Turks and Caicos Islands [TCA]	MOBILE
164932	Turks and Caicos Islands [TCA]	MOBILE
1649330	Turks and Caicos Islands [TCA]	MOBILE
1649331	Turks and Caicos Islands [TCA]	MOBILE
1649332	Turks and Caicos Islands [TCA]	MOBILE
1649333	Turks and Caicos Islands [TCA]	MOBILE
1649334	Turks and Caicos Islands [TCA]	MOBILE
1649335	Turks and Caicos Islands [TCA]	MOBILE
1649336	Turks and Caicos Islands [TCA]	MOBILE
1649337	Turks and Caicos Islands [TCA]	MOBILE
1649338	Turks and Caicos Islands [TCA]	MOBILE
1649339	Turks and Caicos Islands [TCA]	MOBILE
1649340	Turks and Caicos Islands [TCA]	MOBILE
1649341	Turks and Caicos Islands [TCA]	MOBILE
1649342	Turks and Caicos Islands [TCA]	MOBILE
1649343	Turks and Caicos Islands [TCA]	MOBILE
1649344	Turks and Caicos Islands [TCA]	MOBILE
1649345	Turks and Caicos Islands [TCA]	MOBILE
1649346	Turks and Caicos Islands [TCA]	MOBILE
1649347	Turks and Caicos Islands [TCA]	MOBILE
1649348	Turks and Caicos Islands [TCA]	MOBILE
1649349	Turks and Caicos Islands [TCA]	MOBILE
164935	Turks and Caicos Islands [TCA]	MOBILE
164936	Turks and Caicos Islands [TCA]	MOBILE
164937	Turks and Caicos Islands [TCA]	MOBILE
164938	Turks and Caicos Islands [TCA]	MOBILE
164939	Turks and Caicos Islands [TCA]	MOBILE
1658	Jamaica [JAM]	FIXED
1664	Montserrat [MSR]	FIXED
1670	Northern Mariana Islands [MNP]	FIXED
1671	Guam [GUM]	FIXED
1672	Canada [CAN]	FIXED
1683	Canada [CAN]	FIXED
1684	American Samoa [ASM]	FIXED
1705	Canada [CAN]	FIXED
1709	Canada [CAN]	FIXED
1721	Sint Maarten [SXM]	FIXED
1742	Canada [CAN]	FIXED
1753	Canada [CAN]	FIXED
1758	St. Lucia [LCA]	FIXED
1758483	St. Lucia [LCA]	MOBILE
1758725	St. Lucia [LCA]	MOBILE
1767	Dominica [DMA]	FIXED
1778	Canada [CAN]	FIXED
1780	Canada [CAN]	FIXED
1784	St. Vincent and the Grenadines [VCT]	FIXED
1784330	St. Vincent and the Grenadines [VCT]	MOBILE
1784332	St. Vincent and the Grenadines [VCT]	MOBILE
178449	St. Vincent and the Grenadines [VCT]	MOBILE
1784490	St. Vincent and the Grenadines [VCT]	FIXED
1784491	St. Vincent and the Grenadines [VCT]	FIXED
1784492	St. Vincent and the Grenadines [VCT]	FIXED
1784493	St. Vincent and the Grenadines [VCT]	FIXED
1784494	St. Vincent and the Grenadines [VCT]	FIXED
1784495	St. Vincent and the Grenadines [VCT]	FIXED
1784496	St. Vincent and the Grenadines [VCT]	FIXED
1784497	St. Vincent and the Grenadines [VCT]	FIXED
1784498	St. Vincent and the Grenadines [VCT]	FIXED
1787	Puerto Rico [PRI]	FIXED
1787208	Puerto Rico [PRI]	MOBILE
1787209	Puerto Rico [PRI]	MOBILE
1787210	Puerto Rico [PRI]	MOBILE
1787225	Puerto Rico [PRI]	MOBILE
1787226	Puerto Rico [PRI]	MOBILE
1787228	Puerto Rico [PRI]	MOBILE
1787229	Puerto Rico [PRI]	MOBILE
178723	Puerto Rico [PRI]	MOBILE
178724	Puerto Rico [PRI]	MOBILE
1787295	Puerto Rico [PRI]	MOBILE
1787298	Puerto Rico [PRI]	MOBILE
1787299	Puerto Rico [PRI]	MOBILE
1787306	Puerto Rico [PRI]	MOBILE
1787308	Puerto Rico [PRI]	MOBILE
1787309	Puerto Rico [PRI]	MOBILE
1787310	Puerto Rico [PRI]	MOBILE
1787312	Puerto Rico [PRI]	MOBILE
1787313	Puerto Rico [PRI]	MOBILE
1787314	Puerto Rico [PRI]	MOBILE
1787315	Puerto Rico [PRI]	MOBILE
1787316	Puerto Rico [PRI]	MOBILE
1787317	Puerto Rico [PRI]	MOBILE
1787318	Puerto Rico [PRI]	MOBILE
1787319	Puerto Rico [PRI]	MOBILE
1787321	Puerto Rico [PRI]	MOBILE
1787322	Puerto Rico [PRI]	MOBILE
1787323	Puerto Rico [PRI]	MOBILE
1787324	Puerto Rico [PRI]	MOBILE
1787325	Puerto Rico [PRI]	MOBILE
1787326	Puerto Rico [PRI]	MOBILE
1787327	Puerto Rico [PRI]	MOBILE
1787328	Puerto Rico [PRI]	MOBILE
1787329	Puerto Rico [PRI]	MOBILE
1787340	Puerto Rico [PRI]	MOBILE
1787341	Puerto Rico [PRI]	MOBILE
1787342	Puerto Rico [PRI]	MOBILE
1787344	Puerto Rico [PRI]	MOBILE
1787345	Puerto Rico [PRI]	MOBILE
1787346	Puerto Rico [PRI]	MOBILE
1787347	Puerto Rico [PRI]	MOBILE
1787348	Puerto Rico [PRI]	MOBILE
1787349	Puerto Rico [PRI]	MOBILE
1787354	Puerto Rico [PRI]	MOBILE
1787356	Puerto Rico [PRI]	MOBILE
1787358	Puerto Rico [PRI]	MOBILE
1787360	Puerto Rico [PRI]	MOBILE
1787361	Puerto Rico [PRI]	MOBILE
1787362	Puerto Rico [PRI]	MOBILE
1787363	Puerto Rico [PRI]	MOBILE
1787364	Puerto Rico [PRI]	MOBILE
1787365	Puerto Rico [PRI]	MOBILE
1787366	Puerto Rico [PRI]	MOBILE
1787368	Puerto Rico [PRI]	MOBILE
1787370	Puerto Rico [PRI]	MOBILE
1787374	Puerto Rico [PRI]	MOBILE
1787375	Puerto Rico [PRI]	MOBILE
1787376	Puerto Rico [PRI]	MOBILE
1787377	Puerto Rico [PRI]	MOBILE
1787378	Puerto Rico [PRI]	MOBILE
1787379	Puerto Rico [PRI]	MOBILE
1787380	Puerto Rico [PRI]	MOBILE
1787381	Puerto Rico [PRI]	MOBILE
1787382	Puerto Rico [PRI]	MOBILE
1787383	Puerto Rico [PRI]	MOBILE
1787384	Puerto Rico [PRI]	MOBILE
1787385	Puerto Rico [PRI]	MOBILE
1787390	Puerto Rico [PRI]	MOBILE
1787391	Puerto Rico [PRI]	MOBILE
1787392	Puerto Rico [PRI]	MOBILE
1787396	Puerto Rico [PRI]	MOBILE
1787397	Puerto Rico [PRI]	MOBILE
1787398	Puerto Rico [PRI]	MOBILE
1787399	Puerto Rico [PRI]	MOBILE
178740	Puerto Rico [PRI]	MOBILE
1787410	Puerto Rico [PRI]	MOBILE
1787412	Puerto Rico [PRI]	MOBILE
1787413	Puerto Rico [PRI]	MOBILE
1787414	Puerto Rico [PRI]	MOBILE
1787415	Puerto Rico [PRI]	MOBILE
178742	Puerto Rico [PRI]	MOBILE
1787430	Puerto Rico [PRI]	MOBILE
1787431	Puerto Rico [PRI]	MOBILE
1787432	Puerto Rico [PRI]	MOBILE
1787433	Puerto Rico [PRI]	MOBILE
1787435	Puerto Rico [PRI]	MOBILE
1787437	Puerto Rico [PRI]	MOBILE
1787439	Puerto Rico [PRI]	MOBILE
1787445	Puerto Rico [PRI]	MOBILE
1787446	Puerto Rico [PRI]	MOBILE
1787447	Puerto Rico [PRI]	MOBILE
1787448	Puerto Rico [PRI]	MOBILE
1787449	Puerto Rico [PRI]	MOBILE
1787450	Puerto Rico [PRI]	MOBILE
1787451	Puerto Rico [PRI]	MOBILE
1787453	Puerto Rico [PRI]	MOBILE
1787455	Puerto Rico [PRI]	MOBILE
1787459	Puerto Rico [PRI]	MOBILE
1787460	Puerto Rico [PRI]	MOBILE
1787461	Puerto Rico [PRI]	MOBILE
1787462	Puerto Rico [PRI]	MOBILE
1787463	Puerto Rico [PRI]	MOBILE
1787467	Puerto Rico [PRI]	MOBILE
1787468	Puerto Rico [PRI]	MOBILE
1787470	Puerto Rico [PRI]	MOBILE
1787472	Puerto Rico [PRI]	MOBILE
1787476	Puerto Rico [PRI]	MOBILE
1787478	Puerto Rico [PRI]	MOBILE
1787479	Puerto Rico [PRI]	MOBILE
1787484	Puerto Rico [PRI]	MOBILE
1787485	Puerto Rico [PRI]	MOBILE
1787486	Puerto Rico [PRI]	MOBILE
1787487	Puerto Rico [PRI]	MOBILE
1787510	Puerto Rico [PRI]	MOBILE
1787512	Puerto Rico [PRI]	MOBILE
1787525	Puerto Rico [PRI]	MOBILE
1787527	Puerto Rico [PRI]	MOBILE
1787528	Puerto Rico [PRI]	MOBILE
1787530	Puerto Rico [PRI]	MOBILE
1787531	Puerto Rico [PRI]	MOBILE
1787532	Puerto Rico [PRI]	MOBILE
1787533	Puerto Rico [PRI]	MOBILE
1787536	Puerto Rico [PRI]	MOBILE
1787539	Puerto Rico [PRI]	MOBILE
1787547	Puerto Rico [PRI]	MOBILE
1787548	Puerto Rico [PRI]	MOBILE
1787552	Puerto Rico [PRI]	MOBILE
1787554	Puerto Rico [PRI]	MOBILE
1787558	Puerto Rico [PRI]	MOBILE
1787562	Puerto Rico [PRI]	MOBILE
1787567	Puerto Rico [PRI]	MOBILE
1787568	Puerto Rico [PRI]	MOBILE
1787579	Puerto Rico [PRI]	MOBILE
1787602	Puerto Rico [PRI]	MOBILE
1787603	Puerto Rico [PRI]	MOBILE
1787604	Puerto Rico [PRI]	MOBILE
1787605	Puerto Rico [PRI]	MOBILE
1787607	Puerto Rico [PRI]	MOBILE
1787608	Puerto Rico [PRI]	MOBILE
1787610	Puerto Rico [PRI]	MOBILE
1787612	Puerto Rico [PRI]	MOBILE
1787613	Puerto Rico [PRI]	MOBILE
1787614	Puerto Rico [PRI]	MOBILE
1787615	Puerto Rico [PRI]	MOBILE
1787616	Puerto Rico [PRI]	MOBILE
1787617	Puerto Rico [PRI]	MOBILE
1787618	Puerto Rico [PRI]	MOBILE
1787627	Puerto Rico [PRI]	MOBILE
1787628	Puerto Rico [PRI]	MOBILE
1787640	Puerto Rico [PRI]	MOBILE
1787642	Puerto Rico [PRI]	MOBILE
1787643	Puerto Rico [PRI]	MOBILE
1787644	Puerto Rico [PRI]	MOBILE
1787645	Puerto Rico [PRI]	MOBILE
1787646	Puerto Rico [PRI]	MOBILE
1787647	Puerto Rico [PRI]	MOBILE
1787648	Puerto Rico [PRI]	MOBILE
1787649	Puerto Rico [PRI]	MOBILE
1787691	Puerto Rico [PRI]	MOBILE
1787696	Puerto Rico [PRI]	MOBILE
1787697	Puerto Rico [PRI]	MOBILE
1787698	Puerto Rico [PRI]	MOBILE
1787717	Puerto Rico [PRI]	MOBILE
1787810	Puerto Rico [PRI]	MOBILE
1787910	Puerto Rico [PRI]	MOBILE
1787913	Puerto Rico [PRI]	MOBILE
1787918	Puerto Rico [PRI]	MOBILE
1787921	Puerto Rico [PRI]	MOBILE
1787922	Puerto Rico [PRI]	MOBILE
1787923	Puerto Rico [PRI]	MOBILE
1787924	Puerto Rico [PRI]	MOBILE
1787925	Puerto Rico [PRI]	MOBILE
1787931	Puerto Rico [PRI]	MOBILE
1787938	Puerto Rico [PRI]	MOBILE
1787940	Puerto Rico [PRI]	MOBILE
1787941	Puerto Rico [PRI]	MOBILE
1787943	Puerto Rico [PRI]	MOBILE
1787946	Puerto Rico [PRI]	MOBILE
1787960	Puerto Rico [PRI]	MOBILE
1787962	Puerto Rico [PRI]	MOBILE
1787963	Puerto Rico [PRI]	MOBILE
1787964	Puerto Rico [PRI]	MOBILE
1787967	Puerto Rico [PRI]	MOBILE
1787969	Puerto Rico [PRI]	MOBILE
1787972	Puerto Rico [PRI]	MOBILE
1787983	Puerto Rico [PRI]	MOBILE
1787987	Puerto Rico [PRI]	MOBILE
1787989	Puerto Rico [PRI]	MOBILE
1787990	Puerto Rico [PRI]	MOBILE
1787994	Puerto Rico [PRI]	MOBILE
1787996	Puerto Rico [PRI]	MOBILE
1807	Canada [CAN]	FIXED
1809	Dominican Republic [DOM]	FIXED
1809231	Dominican Republic [DOM]	MOBILE
180925	Dominican Republic [DOM]	MOBILE
1809250	Dominican Republic [DOM]	FIXED
1809251	Dominican Republic [DOM]	FIXED
1809252	Dominican Republic [DOM]	FIXED
1809253	Dominican Republic [DOM]	FIXED
1809254	Dominican Republic [DOM]	FIXED
1809256	Dominican Republic [DOM]	FIXED
1809257	Dominican Republic [DOM]	FIXED
1809258	Dominican Republic [DOM]	FIXED
1809259	Dominican Republic [DOM]	FIXED
180926	Dominican Republic [DOM]	MOBILE
1809260	Dominican Republic [DOM]	FIXED
1809264	Dominican Republic [DOM]	FIXED
1809265	Dominican Republic [DOM]	FIXED
1809266	Dominican Republic [DOM]	FIXED
1809267	Dominican Republic [DOM]	FIXED
1809268	Dominican Republic [DOM]	FIXED
1809269	Dominican Republic [DOM]	FIXED
180930	Dominican Republic [DOM]	MOBILE
1809301	Dominican Republic [DOM]	FIXED
1809302	Dominican Republic [DOM]	FIXED
1809303	Dominican Republic [DOM]	FIXED
1809304	Dominican Republic [DOM]	FIXED
1809305	Dominican Republic [DOM]	FIXED
1809306	Dominican Republic [DOM]	FIXED
1809307	Dominican Republic [DOM]	FIXED
1809308	Dominican Republic [DOM]	FIXED
1809309	Dominican Republic [DOM]	FIXED
180936	Dominican Republic [DOM]	MOBILE
1809360	Dominican Republic [DOM]	FIXED
1809361	Dominican Republic [DOM]	FIXED
1809366	Dominican Republic [DOM]	FIXED
18093670229	Dominican Republic [DOM]	FIXED
1809373	Dominican Republic [DOM]	MOBILE
180940	Dominican Republic [DOM]	MOBILE
1809401	Dominican Republic [DOM]	FIXED
1809402	Dominican Republic [DOM]	FIXED
1809403	Dominican Republic [DOM]	FIXED
1809404	Dominican Republic [DOM]	FIXED
1809405	Dominican Republic [DOM]	FIXED
1809406	Dominican Republic [DOM]	FIXED
1809407	Dominican Republic [DOM]	FIXED
1809408	Dominican Republic [DOM]	FIXED
1809409	Dominican Republic [DOM]	FIXED
180941	Dominican Republic [DOM]	MOBILE
1809410	Dominican Republic [DOM]	FIXED
1809413	Dominican Republic [DOM]	FIXED
1809415	Dominican Republic [DOM]	FIXED
1809416	Dominican Republic [DOM]	FIXED
1809417	Dominican Republic [DOM]	FIXED
1809418	Dominican Republic [DOM]	FIXED
1809419	Dominican Republic [DOM]	FIXED
180942	Dominican Republic [DOM]	MOBILE
1809420	Dominican Republic [DOM]	FIXED
1809421	Dominican Republic [DOM]	FIXED
1809423	Dominican Republic [DOM]	FIXED
1809424	Dominican Republic [DOM]	FIXED
1809425	Dominican Republic [DOM]	FIXED
1809426	Dominican Republic [DOM]	FIXED
1809427	Dominican Republic [DOM]	FIXED
1809428	Dominican Republic [DOM]	FIXED
1809429	Dominican Republic [DOM]	FIXED
180945	Dominican Republic [DOM]	MOBILE
1809451	Dominican Republic [DOM]	FIXED
1809452	Dominican Republic [DOM]	FIXED
1809453	Dominican Republic [DOM]	FIXED
1809454	Dominican Republic [DOM]	FIXED
1809455	Dominican Republic [DOM]	FIXED
1809456	Dominican Republic [DOM]	FIXED
1809457	Dominican Republic [DOM]	FIXED
1809458	Dominican Republic [DOM]	FIXED
1809459	Dominican Republic [DOM]	FIXED
1809475	Dominican Republic [DOM]	MOBILE
1809503	Dominican Republic [DOM]	MOBILE
1809508	Dominican Republic [DOM]	MOBILE
18095439	Dominican Republic [DOM]	MOBILE
1809625	Dominican Republic [DOM]	MOBILE
1809626	Dominican Republic [DOM]	MOBILE
180963	Dominican Republic [DOM]	MOBILE
1809630	Dominican Republic [DOM]	FIXED
1809631	Dominican Republic [DOM]	FIXED
1809632	Dominican Republic [DOM]	FIXED
1809634	Dominican Republic [DOM]	FIXED
1809635	Dominican Republic [DOM]	FIXED
1809637	Dominican Republic [DOM]	FIXED
1809638	Dominican Republic [DOM]	FIXED
1809639	Dominican Republic [DOM]	FIXED
1809655	Dominican Republic [DOM]	MOBILE
1809695	Dominican Republic [DOM]	MOBILE
180975	Dominican Republic [DOM]	MOBILE
1809750	Dominican Republic [DOM]	FIXED
1809751	Dominican Republic [DOM]	FIXED
1809752	Dominican Republic [DOM]	FIXED
1809753	Dominican Republic [DOM]	FIXED
1809754	Dominican Republic [DOM]	FIXED
1809756	Dominican Republic [DOM]	FIXED
1809757	Dominican Republic [DOM]	FIXED
1809758	Dominican Republic [DOM]	FIXED
1809759	Dominican Republic [DOM]	FIXED
180976	Dominican Republic [DOM]	MOBILE
1809760	Dominican Republic [DOM]	FIXED
1809761	Dominican Republic [DOM]	FIXED
1809762	Dominican Republic [DOM]	FIXED
1809763	Dominican Republic [DOM]	FIXED
1809764	Dominican Republic [DOM]	FIXED
1809765	Dominican Republic [DOM]	FIXED
1809767	Dominican Republic [DOM]	FIXED
1809768	Dominican Republic [DOM]	FIXED
1809769	Dominican Republic [DOM]	FIXED
1809806	Dominican Republic [DOM]	MOBILE
1809807	Dominican Republic [DOM]	MOBILE
1809808	Dominican Republic [DOM]	MOBILE
1809810	Dominican Republic [DOM]	MOBILE
180985996	Dominican Republic [DOM]	MOBILE
1809887	Dominican Republic [DOM]	MOBILE
1809894	Dominican Republic [DOM]	MOBILE
1809908	Dominican Republic [DOM]	MOBILE
180991	Dominican Republic [DOM]	MOBILE
1809910	Dominican Republic [DOM]	FIXED
1809912	Dominican Republic [DOM]	FIXED
1809913	Dominican Republic [DOM]	FIXED
1809914	Dominican Republic [DOM]	FIXED
1809915	Dominican Republic [DOM]	FIXED
1809916	Dominican Republic [DOM]	FIXED
1809917	Dominican Republic [DOM]	FIXED
1809918	Dominican Republic [DOM]	FIXED
1809919	Dominican Republic [DOM]	FIXED
1809936	Dominican Republic [DOM]	MOBILE
180996	Dominican Republic [DOM]	MOBILE
1809961	Dominican Republic [DOM]	FIXED
1809962	Dominican Republic [DOM]	FIXED
1809963	Dominican Republic [DOM]	FIXED
1809964	Dominican Republic [DOM]	FIXED
1809965	Dominican Republic [DOM]	FIXED
1809966	Dominican Republic [DOM]	FIXED
1809967	Dominican Republic [DOM]	FIXED
1809968	Dominican Republic [DOM]	FIXED
1809969	Dominican Republic [DOM]	FIXED
1809970	Dominican Republic [DOM]	MOBILE
1809971	Dominican Republic [DOM]	MOBILE
1809976	Dominican Republic [DOM]	MOBILE
180998	Dominican Republic [DOM]	MOBILE
1809980	Dominican Republic [DOM]	FIXED
1809981	Dominican Republic [DOM]	FIXED
1809982	Dominican Republic [DOM]	FIXED
1809983	Dominican Republic [DOM]	FIXED
1809984	Dominican Republic [DOM]	FIXED
1809986	Dominican Republic [DOM]	FIXED
1809988	Dominican Republic [DOM]	FIXED
1809989	Dominican Republic [DOM]	FIXED
1819	Canada [CAN]	FIXED
1825	Canada [CAN]	FIXED
1829	Dominican Republic [DOM]	FIXED
1829223	Dominican Republic [DOM]	MOBILE
1829254	Dominican Republic [DOM]	MOBILE
1829321	Dominican Republic [DOM]	MOBILE
1829324	Dominican Republic [DOM]	MOBILE
1829325	Dominican Republic [DOM]	MOBILE
1829326	Dominican Republic [DOM]	MOBILE
18293266131	Dominican Republic [DOM]	FIXED
1829327	Dominican Republic [DOM]	MOBILE
1829381	Dominican Republic [DOM]	MOBILE
1829382	Dominican Republic [DOM]	MOBILE
1829384	Dominican Republic [DOM]	MOBILE
1829385	Dominican Republic [DOM]	MOBILE
1829420	Dominican Republic [DOM]	MOBILE
1829421	Dominican Republic [DOM]	MOBILE
1829423	Dominican Republic [DOM]	MOBILE
182944	Dominican Republic [DOM]	MOBILE
1829440	Dominican Republic [DOM]	FIXED
1829441	Dominican Republic [DOM]	FIXED
1829442	Dominican Republic [DOM]	FIXED
1829443	Dominican Republic [DOM]	FIXED
1829444	Dominican Republic [DOM]	FIXED
1829445	Dominican Republic [DOM]	FIXED
1829446	Dominican Republic [DOM]	FIXED
1829447	Dominican Republic [DOM]	FIXED
1829448	Dominican Republic [DOM]	FIXED
1829449	Dominican Republic [DOM]	FIXED
